NAME,DESCRIPTION,TELEPHONE,Location,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4
CONNECTICUT STATE POLICE TROOP B - NORTH CANAAN RESIDENT STATE TROOPER,STATE POLICE,860-824-3145,"(42.032507, -73.333247)",100 PEASE STREET,,NORTH CANAAN,CT,6018,2060
CONNECTICUT STATE POLICE TROOP L - BETHLEHEM RESIDENT STATE TROOPER,STATE POLICE,203-266-7405,"(41.637135, -73.209379)",36 MAIN STREET SOUTH,,BETHLEHEM,CT,6751,2001
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,TRIBAL,860-396-6644,"(41.466186, -71.955159)",101 PEQUOT TRAIL,,LEDYARD,CT,6339,
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP I - BETHANY,STATE POLICE,203-393-4200,"(41.433425, -72.993624)",631 AMITY ROAD,,BETHANY,CT,6524,3026
NEW HAVEN POLICE DEPARTMENT,MUNICIPAL,203-946-6255,"(41.300102, -72.925274)",1 UNION AVENUE,,NEW HAVEN,CT,6519,1721
CENTRAL CONNECTICUT STATE UNIVERSITY POLICE,COLLEGE OR UNIVERSITY,860-832-2375,"(41.691377, -72.76652)",1615 STANLEY STREET,,NEW BRITAIN,CT,6050,2439
PUTNAM POLICE DEPARTMENT,MUNICIPAL,860-928-6565,"(41.920891, -71.909996)",189 CHURCH STREET,,PUTNAM,CT,6260,1537
SOUTHERN CONNECTICUT STATE UNIVERSITY POLICE DEPARTMENT,COLLEGE OR UNIVERSITY,203-392-5375,"(41.333803, -72.952036)",10 WINTERGREEN AVENUE,,NEW HAVEN,CT,6515,1048
GREENWICH POLICE DEPARTMENT,MUNICIPAL,203-622-8000,"(41.025673, -73.62443)",11 BRUCE PLACE,,GREENWICH,CT,6830,6535
MERIDEN POLICE DEPARTMENT,MUNICIPAL,203-238-1911,"(41.537698, -72.804211)",50 WEST MAIN STREET,,MERIDEN,CT,6451,4109
SEYMOUR POLICE DEPARTMENT,MUNICIPAL,203-881-7600,"(41.397413, -73.075453)",11 FRANKLIN STREET,,SEYMOUR,CT,6483,2809
CONNECTICUT STATE POLICE TROOP E - PRESTON RESIDENT STATE TROOPER,STATE POLICE,860-848-6500,"(41.489519, -71.99276)",389 STATE HIGHWAY 2,,PRESTON,CT,6365,
CONNECTICUT STATE POLICE - KILLINGWORTH RESIDENT STATE TROOPER,STATE POLICE,860-663-1132,"(41.357633, -72.56508)",242 STATE ROUTE 81,,KILLINGWORTH,CT,6419,
EAST LYME POLICE DEPARTMENT,MUNICIPAL,860-739-7007,"(41.322927, -72.194244)",278 MAIN STREET,,NIANTIC,CT,6357,3102
SPRAGUE POLICE DEPARTMENT,MUNICIPAL,860-822-6156,"(41.61631, -72.084394)",1 MAIN STREET,,BALTIC,CT,6330,1320
NAUGATUCK POLICE DEPARTMENT,MUNICIPAL,203-729-5222,"(41.504813, -73.05384)",211 SPRING STREET,,NAUGATUCK,CT,6770,2922
AMTRAK POLICE DEPARTMENT,OTHER,203-773-6000,"(41.297513, -72.926606)",50 UNION AVENUE,,NEW HAVEN,CT,6519,1754
LEBANON POLICE DEPARTMENT,MUNICIPAL,860-642-7730,"(41.630731, -72.209308)",23 GOSHEN HILL ROAD,,LEBANON,CT,6249,1710
WATERTOWN POLICE DEPARTMENT,MUNICIPAL,860-945-5200,"(41.598476, -73.106368)",195 FRENCH STREET,,WATERTOWN,CT,6795,2921
NORWALK POLICE DEPARTMENT,MUNICIPAL,203-854-3000,"(41.096366, -73.419836)",1 MONROE STREET,,NORWALK,CT,6854,3103
CHESHIRE POLICE DEPARTMENT,MUNICIPAL,203-271-5500,"(41.511034, -72.89864)",500 HIGHLAND AVENUE,,CHESHIRE,CT,6410,2249
OXFORD POLICE DEPARTMENT,MUNICIPAL,203-888-4353,"(41.434126, -73.116869)",429 OXFORD ROAD,,OXFORD,CT,6478,1231
CONNECTICUT STATE POLICE,STATE POLICE,860-685-8000,"(41.569172, -72.727678)",1111 COUNTRY CLUB ROAD,,MIDDLETOWN,CT,6457,2389
CONNECTICUT STATE POLICE TROOP L - WOODBURY RESIDENT STATE TROOPER,STATE POLICE,203-263-3400,"(41.541958, -73.207179)",271 MAIN STREET SOUTH,,WOODBURY,CT,6798,3408
SUFFIELD POLICE DEPARTMENT,MUNICIPAL,860-668-3870,"(41.98459, -72.68528)",911 MOUNTAIN ROAD,,SUFFIELD,CT,6078,3074
WATERBURY CAMPUS POLICE SUB-STATION,COLLEGE OR UNIVERSITY,203-236-9950,"(41.555719, -73.039471)",99 EAST MAIN STREET,,WATERBURY,CT,6702,2311
BEACON FALLS POLICE DEPARTMENT,MUNICIPAL,203-729-5173,"(41.445866, -73.06643)",119 NORTH MAIN STREET,,BEACON FALLS,CT,6403,1167
CONNECTICUT STATE POLICE TROOP D - STERLING RESIDENT STATE TROOPER,STATE POLICE,860-564-7896,"(41.692915, -71.813164)",1114 PLAINFIELD PIKE,,ONECO,CT,6373,
